states,actions
"[0.1043106935762236, -0.003067961575771161, -0.3322373146850257, -0.002268056823908182]",[-0.05001074582445327]
"[0.1043106935762236, -0.003067961575771161, -0.2657898517480195, -0.00181444545913223]",[-0.029262753971236937]
"[0.10124273200045232, -0.003067961575771161, -0.36602996018698075, -0.0014515563673000997]",[0.14571480465217668]
"[0.10124273200045232, -0.003067961575771161, -0.2928239681495848, -0.0011612450938400798]",[0.22827837172006585]
"[0.10124273200045232, -0.003067961575771161, -0.23425917451966694, -0.0009289960750606951]",[0.0934303945266378]
"[0.10124273200045232, -0.003067961575771161, -0.1874073396157332, -0.0007431968600712935]",[-0.2372111668836152]
"[0.09817477042468103, -0.003067961575771161, -0.30332395048115135, -0.0005945574880286131]",[-0.35756130111354595]
"[0.09817477042468103, -0.003067961575771161, -0.24265916038492108, -0.00047564599043425915]",[-0.07302708254556846]
"[0.09817477042468103, -0.006135923151542766, -0.19412732830793722, -0.153778595580917]",[-0.20748988401281596]
"[0.09510680884890975, -0.006135923151542766, -0.30869994143491386, -0.12302287646474497]",[-0.9149279448578798]
"[0.09510680884890975, -0.006135923151542766, -0.24695995314793073, -0.09841830117179029]",[-1.1865049930379667]
"[0.09510680884890975, -0.006135923151542766, -0.1975679625183444, -0.07873464093745497]",[-0.5840872956318184]
"[0.09510680884890975, -0.003067961575771161, -0.1580543700146757, 0.09041036603858288]",[0.17451293256196784]
"[0.09203884727313846, -0.003067961575771161, -0.27984157480030447, 0.07232829283088904]",[0.7498607735061693]
"[0.09203884727313846, -0.003067961575771161, -0.22387325984024375, 0.0578626342647226]",[1.062481438875329]
"[0.09203884727313846, -0.003067961575771161, -0.179098607872195, 0.04629010741177808]",[0.5821858961448407]
"[0.09203884727313846, 0.0, -0.14327888629775565, 0.1904301647179807]",[0.08296460505059199]
"[0.09203884727313846, 0.0, -0.11462310903820416, 0.15234413177438455]",[0.29916440768852237]
"[0.09203884727313846, 0.0, -0.09169848723056351, 0.12187530541950764]",[0.6519129006959711]
"[0.09203884727313846, 0.0, -0.07335878978445098, 0.09750024433560611]",[0.2716634022243152]
"[0.09203884727313846, 0.0, -0.058687031827560965, 0.07800019546849057]",[-0.3137682282920123]
"[0.08897088569736719, 0.0, -0.2003477042506132, 0.06240015637479246]",[-0.3488143874986925]
"[0.08897088569736719, 0.0, -0.1602781634004904, 0.049920125099816914]",[0.07861246618457103]
"[0.08897088569736719, 0.0, -0.12822253072039214, 0.03993610007984216]",[0.3109538802381708]
"[0.08897088569736719, 0.0, -0.10257802457631371, 0.031948880063879415]",[0.03498629296020216]
"[0.0859029241215959, 0.0, -0.23546049844961559, 0.025559104051097847]",[-0.18926468738862293]
"[0.0859029241215959, 0.0, -0.18836839875969247, 0.020447283240883962]",[0.032904726044809054]
"[0.0859029241215959, 0.0, -0.15069471900775344, 0.0163578265926958]",[0.2439893411034912]
