states,actions
"[0.06135923151542565, -0.018407769454627854, -0.19803321797503148, 0.15139765816076078]",[0.7228298053586757]
"[0.06135923151542565, -0.018407769454627854, -0.15842657438002528, 0.12111812652861431]",[-0.03525534379991502]
"[0.06135923151542565, -0.018407769454627854, -0.12674125950402004, 0.09689450122289145]",[-0.9472927061743635]
"[0.05829126993965436, -0.015339807878856249, -0.2547910863917804, 0.2309136797668998]",[-0.6737195050894865]
"[0.05829126993965436, -0.015339807878856249, -0.20383286911342413, 0.18473094381351984]",[0.44619163869721784]
"[0.05829126993965436, -0.015339807878856249, -0.16306629529073957, 0.14778475505079314]",[0.974127840729561]
"[0.05829126993965436, -0.015339807878856249, -0.13045303623259175, 0.11822780404062883]",[0.12950788818856634]
"[0.05829126993965436, -0.012271846303085088, -0.1043624289860734, 0.24798032202104991]",[-0.5260090382773785]
"[0.05829126993965436, -0.012271846303085088, -0.08348994318885827, 0.1983842576168513]",[-0.12057914280545246]
"[0.05829126993965436, -0.012271846303085088, -0.06679195455108689, 0.15870740609346967]",[0.38681364560627185]
"[0.05829126993965436, -0.012271846303085088, -0.0534335636408696, 0.126965924874753]",[0.007217286645214704]
"[0.05829126993965436, -0.012271846303085088, -0.04274685091269559, 0.10157273989980808]",[-0.6324111549448403]
"[0.05522330836388308, -0.009203884727313927, -0.1875955595187202, 0.234656270708399]",[-0.3556664646559377]
"[0.05522330836388308, -0.009203884727313927, -0.15007644761497607, 0.18772501656673057]",[0.6724847094201618]
"[0.05522330836388308, -0.009203884727313927, -0.12006115809198104, 0.15018001325339014]",[1.1614515147451083]
"[0.05522330836388308, -0.009203884727313927, -0.09604892647358465, 0.12014401060270075]",[0.3332185600872489]
"[0.05522330836388308, -0.009203884727313927, -0.07683914117886781, 0.0961152084821606]",[-0.6362130574881366]
"[0.05522330836388308, -0.009203884727313927, -0.0614713129430946, 0.07689216678573985]",[-0.8189428597325616]
"[0.05522330836388308, -0.006135923151542766, -0.04917705035447595, 0.21491181221713873]",[-0.22751054783444882]
"[0.05522330836388308, -0.006135923151542766, -0.03934164028358067, 0.17192944977369962]",[0.5342346170915537]
"[0.05522330836388308, -0.006135923151542766, -0.03147331222686445, 0.13754355981896538]",[0.7586225658470429]
"[0.05522330836388308, -0.006135923151542766, -0.025178649781491647, 0.11003484785516093]",[0.13557497497954074]
"[0.05522330836388308, -0.006135923151542766, -0.02014291982519323, 0.08802787828412306]",[-0.5051560424073549]
"[0.05522330836388308, -0.006135923151542766, -0.01611433586015476, 0.07042230262729277]",[-0.5995861251812902]
"[0.05522330836388308, -0.003067961575771161, -0.012891468688124075, 0.2097359208904095]",[-0.08427392398175429]
"[0.05522330836388308, -0.003067961575771161, -0.010313174950499437, 0.16778873671233896]",[0.6147928856445933]
"[0.05522330836388308, -0.003067961575771161, -0.008250539960399372, 0.13423098936988254]",[0.8400778547195894]
"[0.05522330836388308, -0.003067961575771161, -0.006600431968319498, 0.1073847914959174]",[0.23969962695678815]
"[0.05522330836388308, 0.0, -0.0052803455746559536, 0.2393059119852694]",[-0.05720780064028411]
"[0.05522330836388308, 0.0, -0.004224276459725118, 0.19144472958819847]",[0.4351696058618452]
